GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
my-app,com.example.books.repository,InMemoryBookRepository,4,81,0,0,1,17,1,11,1,11
my-app,com.example.books.service,LoanLimitExceededException,0,4,0,0,0,2,0,1,0,1
my-app,com.example.books.service,LoanNotFoundException,0,4,0,0,0,2,0,1,0,1
my-app,com.example.books.service,LoanService,65,158,4,6,13,32,5,10,3,7
my-app,com.example.books.service,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
my-app,com.example.books.service,DuplicateBookException,0,4,0,0,0,2,0,1,0,1
my-app,com.example.books.service,BookNotAvailableException,0,4,0,0,0,2,0,1,0,1
my-app,com.example.books.service,BookNotFoundException,0,4,0,0,0,2,0,1,0,1
my-app,com.example.books.service,InvalidLoanStatusException,0,4,0,0,0,2,0,1,0,1
my-app,com.example.books.service,BookService,10,82,4,12,2,19,4,11,0,7
my-app,com.example,App,7,0,0,0,3,0,2,0,2,0
my-app,com.example,Calculator,8,7,0,0,2,2,2,2,2,2
my-app,com.example,StringCalculator,1,94,2,12,0,20,2,8,0,3
my-app,com.example,PasswordValidator,0,39,1,9,0,5,1,9,0,5
my-app,com.example,MyNumberUtil,3,8,0,2,1,1,1,2,1,1
my-app,com.example.library.service,LibraryService,0,183,0,4,0,43,0,17,0,15
my-app,com.example.library.exception,MemberNotFoundException,5,4,0,0,2,2,1,1,1,1
my-app,com.example.library.exception,BookNotAvailableException,5,4,0,0,2,2,1,1,1,1
my-app,com.example.library.exception,MemberBorrowLimitExceededException,5,4,0,0,2,2,1,1,1,1
my-app,com.example.library.exception,BookNotFoundException,5,4,0,0,2,2,1,1,1,1
my-app,com.example.user,UserService,0,50,0,2,0,9,0,4,0,3
my-app,com.example.user,User,0,21,0,0,0,6,0,4,0,4
my-app,com.example.demo,CheckoutService,0,11,0,0,0,4,0,2,0,2
my-app,com.example.demo,TaxUtil,11,6,3,1,3,1,3,1,1,1
my-app,com.example.books,User,68,38,13,7,14,11,16,2,6,2
my-app,com.example.books,LoanStatus,0,21,0,0,0,2,0,1,0,1
my-app,com.example.books,Loan,96,78,22,10,17,24,21,8,5,8
my-app,com.example.books,Book,36,135,7,25,3,33,7,19,1,9
my-app,com.example.library.model,Member,0,83,2,12,0,21,2,12,0,7
my-app,com.example.library.model,Book,0,84,2,14,0,24,2,13,0,7
my-app,com.example.library.model,Loan,0,107,0,14,0,30,0,17,0,10
